,Year,L1,L2,L3,Utilization L1,Utilization L2,Utilization L3,Emission L1,Emission L2,Emission L3,EV/CP L1,EV/CP L2,EV/CP L3,Area L1,Area L2,Area L3,Jobs,DAC L1 case1,DAC L2 case1,DAC L3 case1,DAC L1 case2,DAC L2 case2,DAC L3 case2,DAC L1 case3,DAC L2 case3,DAC L3 case3
0,2025,1,1,1,0,0,0,0,0,0,0,0,0,0,0.1,28.25,5,800,6500,75000,800.03,6500.03,75000.03,800.0,6500.0,75000.0
1,2026,1,1,1,9,9,2,2,2,2,2,2,2,0,0.1,28.25,5,800,6500,75000,806.0,6506.0,75006.0,800.0,6500.0,75000.0
2,2027,1,1,1,77,72,12,11,11,10,15,15,15,0,0.1,28.25,5,800,6500,75000,884.0,6584.0,75084.0,810.0,6510.0,75010.0
3,2028,3,2,1,77,89,36,32,26,29,11,16,31,0,0.2,28.25,5,861,6748,75000,1101.0,6987.0,75240.0,897.0,6784.0,75036.0
4,2029,6,4,1,98,92,80,82,54,64,11,16,63,0,0.4,28.25,5,945,7201,75000,1482.0,7737.0,75538.0,1036.0,7292.0,75091.0
5,2030,12,7,2,97,96,68,160,98,108,8,14,48,0,0.7000000000000001,28.5,10,1098,7821,77383,2083.0,8805.0,78369.0,1308.0,8031.0,77592.0
6,2031,19,11,3,100,95,75,262,152,179,7,12,43,0,1.1,28.75,15,1291,8717,79968,2959.0,10384.0,81636.0,1708.0,9134.0,80384.0
7,2032,30,16,4,100,100,90,415,234,288,7,13,49,0,1.6,29.0,20,1577,9770,82398,4270.0,12462.0,85091.0,2342.0,10536.0,83162.0
8,2033,43,23,6,100,100,86,595,335,409,6,10,38,0,2.3000000000000003,29.5,30,1894,11155,86964,5738.0,14998.0,90808.0,3062.0,12325.0,88131.0
9,2034,59,31,7,99,100,97,807,454,543,5,9,38,0,3.1,29.75,35,2261,12643,89110,7371.0,17753.0,94221.0,3882.0,14266.0,90730.0
10,2035,78,42,9,100,98,99,1075,602,712,5,8,37,0,4.2,30.25,45,2875,24178,113309,9513.0,30817.0,119949.0,5059.0,26364.0,115492.0
11,2036,101,53,12,100,100,97,1393,773,929,4,8,34,0,5.300000000000001,31.0,60,3340,25985,118995,11733.0,34379.0,127390.0,6182.0,28828.0,121835.0
12,2037,130,68,16,100,100,95,1799,990,1204,4,8,32,0,6.800000000000001,32.0,80,3892,28301,126121,14572.0,38982.0,136803.0,7603.0,32014.0,129830.0
13,2038,166,86,20,100,100,96,2289,1257,1529,4,8,31,0,8.6,33.0,100,4535,30913,132818,17991.0,44370.0,146276.0,9308.0,35688.0,137589.0
14,2039,205,107,24,100,100,99,2838,1565,1885,4,7,29,0,10.700000000000001,34.0,120,5190,33777,139112,21659.0,50248.0,155584.0,11118.0,39707.0,145038.0
15,2040,255,133,30,100,100,98,3535,1944,2340,4,7,29,0,13.3,35.5,150,5979,37110,147985,26256.0,57388.0,168265.0,13370.0,44502.0,155374.0
16,2041,316,166,36,100,100,100,4378,2419,2873,4,7,30,0,16.6,37.0,180,6884,41085,156325,31694.0,65897.0,181138.0,16016.0,50218.0,165454.0
17,2042,388,203,45,100,100,98,5366,2970,3519,4,7,28,0,20.3,39.25,225,7888,45274,168082,37881.0,75269.0,198077.0,19008.0,56395.0,179199.0
18,2043,469,247,54,100,100,99,6500,3613,4260,4,6,27,0,24.700000000000003,41.5,270,8949,49956,179132,44701.0,85710.0,214885.0,22275.0,63283.0,192454.0
19,2044,561,297,65,100,100,99,7773,4340,5126,3,6,25,0,29.700000000000003,44.25,325,10082,54956,191825,52099.0,96976.0,233843.0,25805.0,70681.0,207544.0
20,2045,664,352,77,100,100,99,9204,5155,6091,3,6,24,0,35.2,47.25,385,11870,85971,269904,60589.0,134694.0,318625.0,30155.0,104258.0,288185.0
21,2046,781,414,91,100,100,100,10825,6053,7204,3,5,23,0,41.400000000000006,50.75,455,13142,91448,284173,69094.0,147403.0,340126.0,34189.0,112496.0,305216.0
22,2047,912,482,106,100,100,100,12631,7051,8461,3,5,22,0,48.2,54.5,530,14481,97094,298542,78125.0,160740.0,362187.0,38462.0,121076.0,322519.0
23,2048,1056,556,124,100,100,100,14630,8145,9864,3,5,21,0,55.6,59.0,620,15864,102868,314747,87578.0,174584.0,386462.0,42922.0,129927.0,341801.0
24,2049,1216,641,143,100,100,100,16853,9381,11409,3,5,20,0,64.10000000000001,63.75,715,17309,109102,330824,97545.0,189340.0,411061.0,47613.0,139407.0,361124.0
25,2050,1389,731,164,100,100,100,19244,10700,13085,3,5,19,0,73.10000000000001,69.0,820,18777,115305,347524,107635.0,204166.0,436384.0,52368.0,148898.0,381112.0
26,2051,1574,827,187,100,100,100,21813,12115,14877,3,4,18,0,82.7,74.75,935,21803,128061,382787,128465.0,234727.0,489451.0,62188.0,168449.0,423169.0
27,2052,1773,932,211,100,100,100,24569,13643,16801,2,4,17,0,93.2,80.75,1055,24948,141541,418339,150094.0,266691.0,543486.0,72392.0,188988.0,465779.0
28,2053,1993,1046,237,100,100,100,27626,15321,18907,2,4,17,0,104.60000000000001,87.25,1185,28307,155682,455551,173248.0,300627.0,600493.0,83309.0,210686.0,510548.0
29,2054,2229,1168,265,100,100,100,30901,17104,21126,2,4,16,0,116.80000000000001,94.25,1325,31788,170303,494270,197029.0,335548.0,659511.0,94548.0,233065.0,557025.0
30,2055,2485,1299,295,100,100,100,34438,19027,23516,2,4,15,0,129.9,101.75,1475,37261,261315,734758,223661.0,447719.0,921158.0,108112.0,332168.0,805604.0
